DistCode,District,College Code,College Name,OC,BCM,BC,MBC,SCA,SC,ST
8,KANCHEEPURAM,1399,CHENNAI INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1202,D M I COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1424,DHAANISH AHMED COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1405,DHANALAKSHMI COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1322,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1407,G.K.M. COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1429,GOPAL RAMALINGAM MEMORIAL ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1234,INDIRA GANDHI COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,,,,,,,
8,KANCHEEPURAM,1235,J E I MATHAAJEE COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1306,JEPPIAAR ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1140,JEPPIAAR INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1307,JERUSALEM COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1311,K.C.G. COLLEGE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1208,KANCHI PALLAVAN ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1409,KARPAGA VINAYAGA COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1207,KINGS ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1205,LORD VENKATESHWARAA ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1225,LOYOLA INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1206,MAAMALLAN INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1411,MADHA ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1243,MADHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1310,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1301,MOHAMED SATHAK A.J.COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1431,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1222,P.B. COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1226,P.T. LEE CHENGALVARAYA NAICKER COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1104,PALLAVA RAJA COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1209,PALLAVAN COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1452,PERI INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1442,PRINCE Dr.K.VASUDEVAN COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1414,PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1211,RAJALAKSHMI ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1212,RAJIV GANDHI COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1437,RRASE COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1320,S.R.R. ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1214,SAKTHI MARIAMMAN ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1216,SAVEETHA ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1313,SHREE MOTILAL KANHAIYALAL FOMRA INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1417,SHRI ANDAL ALAGAR COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1427,SRI KRISHNA ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1335,SRI KRISHNA INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1418,SRI LAKSHMI AMMAL ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1218,SRI MUTHUKUMARAN INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1426,SRI RAMANUJAR ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1324,SRI SAI RAM INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1419,SRI SAIRAM ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1315,SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1219,SRI VENKATESWARA COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1413,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1325,St. JOSEPH COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1149,St. JOSEPH'S INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1317,St.JOSEPH'S COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1318,T.J. INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1420,TAGORE ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1319,THANGAVELU ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1517,THIRUMALAI ENGINEERING COLLEGE,,,,,,,
