DistCode,District,College Code,College Name,Branch,OC,BCM,BC,MBC,SCA,SC,ST
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,PHARMACEUTICAL TECHNOLOGY(SS),195.75,194.75,195.0,194.0,171.75,186.5,0.0
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,LEATHER TECHNOLOGY,194.5,192.25,193.75,192.75,181.25,184.5,165.75
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,PETROLEUM ENGINEERING AND TECH(SS),196.25,195.5,195.5,194.5,171.75,188.5,185.0
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,APPAREL TECHNOLOGY(SS),193.75,191.25,193.25,191.75,160.25,183.5,0.0
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,INDUSTRIAL BIO-TECHNOLOGY,198.0,197.5,197.5,195.5,187.25,191.75,0.0
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,CHEMICAL ENGINEERING,198.25,197.0,197.5,196.5,192.25,195.25,190.5
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,CERAMIC TECHNOLOGY(SS),193.75,190.25,193.0,191.75,170.75,183.25,0.0
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,CHEMICAL ENGINEERING(SS),197.0,195.75,196.75,196.0,184.75,189.75,173.0
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,FOOD TECHNOLOGY(SS),196.0,193.0,195.75,194.5,180.0,186.5,0.0
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,MECHANICAL ENGINEERING,199.25,198.5,199.0,198.75,196.0,197.0,196.5
